"RANK","INC_YEAR","COMPANY","3-YR GROWTH","REVENUE","INDUSTRY","YEARS","METRO_AREA"
"436","2015","BodyGuardz","1,076%","$46.8m","Consumer Products & Services","","Provo-Orem, UT"
"438","2015","PulsePoint","1,068%","$94.2m","Advertising & Marketing","","New York City"
"439","2015","Intero Real Estate Services","1,068%","$7m","Real Estate","","Riverside-San Bernardino-Ontario, CA"
"440","2015","Synergy BIS","1,066%","$9.3m","Government Services","","Washington, DC"
"441","2015","Activate Healthcare","1,064%","$13m","Health","","Indianapolis, IN"
"442","2015","It Works!","1,060%","$538.5m","Consumer Products & Services","","Sarasota-Bradenton-Venice, FL"
"443","2015","GovSmart","1,053%","$69.3m","Computer Hardware","","Charlottesville, VA"
"444","2015","MobileOne","1,050%","$100.5m","Retail","","San Diego"
"445","2015","Create Group NYC","1,044%","$10.5m","Advertising & Marketing","","New York City"
"446","2015","Trident Technical Solutions","1,044%","$3.4m","Government Services","","Tampa"
"447","2015","National Tax Credit","1,037%","$4m","Financial Services","","Atlanta"
"448","2015","Search Solution Group","1,036%","$2.3m","Human Resources","","Charlotte"
"449","2015","Regulated Capital Consultants","1,032%","$7.1m","Business Products & Services","","Atlanta"
"450","2015","Sports Marketing Monterrey","1,031%","$2.1m","Advertising & Marketing","","Dallas"
"451","2015","NVision IT","1,025%","$3.4m","IT Services","","St. Louis, MO-IL"
"452","2015","Encompass Inspections","1,024%","$2.1m","Construction","","Phoenix"
"453","2015","Easton Porter Group","1,022%","$9.8m","Travel & Hospitality","","Charlottesville, VA"
"454","2015","The HCI Group","1,022%","$69.6m","Health","","Jacksonville, FL"
"455","2015","Tach Tech","1,016%","$4.3m","IT Services","","San Francisco"
"456","2015","Ensighten","1,012%","$19.5m","Advertising & Marketing","","San Jose"
"457","2015","Whiplash Merchandising","1,011%","$2m","Business Products & Services","","Ann Arbor, MI"
"458","2015","Stress Free Property Management","1,009%","$15.7m","Real Estate","","Tampa"
"459","2015","TUNE","1,003%","$39.9m","Advertising & Marketing","","Seattle"
"460","2015","ClearSource","1,003%","$3.2m","Business Products & Services","","Salt Lake City"
"461","2015","Majority Strategies","1,001%","$50.9m","Advertising & Marketing","","Jacksonville, FL"
"462","2015","Servesys","1,001%","$4.6m","IT Services","","Dallas"
"463","2015","Burgos Group","998%","$7.9m","Government Services","","Albuquerque, NM"
"464","2015","Stoneside Blinds & Shades","995%","$6.5m","Consumer Products & Services","","Denver-Aurora, CO"
"465","2015","BlackTab Group","993%","$3.2m","IT Services","","Rochester, NY"
"466","2015","Sway Group","993%","$4.3m","Advertising & Marketing","","San Francisco"
"467","2015","Appia","993%","$32.6m","Advertising & Marketing","","Durham, NC"
"468","2015","Safe Passage Neuromonitoring","990%","$15.4m","Health","","New York City"
"469","2015","MobileHelp","989%","$28.8m","Health","","Miami"
"470","2015","Zippy Shell","988%","$7.3m","Logistics & Transportation","","Washington, DC"
"471","2015","9Round Franchising","988%","$3.2m","Health","","Greenville-Mauldin-Easley, SC"
"472","2015","Biorasi","984%","$30.7m","Health","","Miami"
"473","2015","Gold Refinery of San Diego","983%","$63.2m","Financial Services","","San Diego"
"474","2015","InVision Security","980%","$5.2m","Security","","Philadelphia"
"475","2015","Ace Web Optimization","979%","$3.4m","IT Services","","New York City"
"476","2015","Foodlinks","976%","$21.2m","Food & Beverage","","Kansas City, MO-KS"
"477","2015","CG Phones","974%","$7.1m","Consumer Products & Services","","Baltimore"
"478","2015","ShortStack","973%","$6m","Software","","Reno-Sparks, NV"
"479","2015","Evolve Digital Labs","973%","$7m","Advertising & Marketing","","St. Louis, MO-IL"
"480","2015","Daseke","966%","$532.7m","Logistics & Transportation","","Dallas"
"481","2015","DevMynd","955%","$2.1m","Software","","Chicago"
"482","2015","Oak Mortgage Group","955%","$8.9m","Financial Services","","Dallas"
"483","2015","KPI Logistics","955%","$9.5m","Logistics & Transportation","","San Diego"
"484","2015","Stability HealthCare","950%","$3.9m","Health","","Los Angeles"
"485","2015","Beneficial Blends","948%","$2.3m","Food & Beverage","","Tampa"
"486","2015","Acceleration Partners","946%","$13.7m","Advertising & Marketing","","Boston"
"487","2015","Sarah Whit Interior Design","944%","$2m","Construction","","Chicago"
"488","2015","Vee Technologies","944%","$5m","Business Products & Services","","New York City"
"489","2015","Semihandmade","941%","$2.6m","Consumer Products & Services","","Los Angeles"
"490","2015","HandyPro International","941%","$2.1m","Construction","","Detroit"
"491","2015","OBXtek","935%","$65.4m","Government Services","","Washington, DC"
"492","2015","Act-On Software","932%","$32.2m","Software","","Portland, OR"
"493","2015","Market6","931%","$19.4m","Software","","Chicago"
"494","2015","MyClean","929%","$6.9m","Consumer Products & Services","","New York City"
"495","2015","Bridgetown Natural Foods","927%","$83.7m","Food & Beverage","","Portland, OR"
"496","2015","Onnit Labs","921%","$22.9m","Health","","Austin"
"497","2015","Harmony Healthcare","920%","$17.8m","Health","","Tampa"
"498","2015","Gold Coast IT Solutions","916%","$3.3m","IT Services","","Washington, DC"
"499","2015","Saxony Partners","915%","$4.3m","IT Services","","Dallas"
"500","2015","WeVeel","913%","$10.2m","Consumer Products & Services","","Philadelphia"
"1","2016","Loot Crate","66,789%","$116.2m","Consumer Products & Services","","Los Angeles"
"2","2016","Paint Nite","36,555%","$55m","Consumer Products & Services","","Boston"
"3","2016","CalCom Solar","31,634%","$33.5m","Energy","","Visalia-Porterville, CA"
"4","2016","eLuxurySupply.com","23,620%","$30.6m","Retail","","Evansville, IN-KY"
"5","2016","Company.com","23,487%","$33.3m","Business Products & Services","","Atlanta"
"6","2016","Globalization Partners","16,197%","$17.7m","Business Products & Services","","Boston"
"7","2016","Bounce Exchange","14,575%","$15.7m","Software","","New York City"
"8","2016","Los York","14,405%","$15.5m","Advertising & Marketing","","Los Angeles"
"9","2016","PANTHERx Specialty Pharmacy","13,381%","$42.4m","Health","","Pittsburgh, PA"
"10","2016","FedBiz IT Solutions","12,621%","$25.8m","Government Services","","Washington, DC"
"11","2016","Small Business Owners of America","12,060%","$12.3m","Financial Services","","Columbus, OH"
"12","2016","PLANIT GROUP","11,525%","$11.5m","IT Services","","Charlotte"
"13","2016","Suja Juice","10,511%","$65.8m","Food & Beverage","","San Diego"
"14","2016","S2 Capital","9,646%","$28.8m","Real Estate","","Dallas"
"15","2016","FormulaFolio Investments","9,401%","$11.2m","Financial Services","","Grand Rapids-Wyoming, MI"
"16","2016","Persado","9,390%","$17.4m","Software","","New York City"
"17","2016","Berkley","9,249%","$11.4m","Manufacturing","","Los Angeles"
"18","2016","Exusia","8,803%","$14.9m","IT Services","","New York City"
"19","2016","Thrive Farmers","8,577%","$23.1m","Food & Beverage","","Atlanta"
"20","2016","Tribeca Marketing Group","8,395%","$8.6m","Education","","Miami"
"21","2016","C&H Financial Services","8,053%","$17.3m","Financial Services","","Chicago"
"22","2016","PAYKINGS","7,905%","$8m","Financial Services","","Tampa"
"23","2016","Highland Project Logistics","7,904%","$8m","Logistics & Transportation","","Boston"
"24","2016","Furniture Solutions Group","7,800%","$8.6m","Business Products & Services","","Baltimore"
"25","2016","Midwest Equity Mortgage","7,754%","$971.1m","Financial Services","","Chicago"
"26","2016","Big Block Realty","7,613%","$19m","Real Estate","","San Diego"
"26","2016","Cylance","7,613%","$11.1m","Security","","Los Angeles"
"27","2016","Blackstone Labs","7,546%","$9.7m","Health","","Miami"
"28","2016","Elements Holdings Group Inc & Subsidiaries","7,117%","$18.5m","Business Products & Services","","Chicago"
"29","2016","Legend Solar","7,102%","$13m","Energy","","St. George, UT"
"30","2016","Taldepot.com","6,988%","$14.8m","Retail","","New York City"
"31","2016","Nine Line Apparel","6,962%","$9.3m","Retail","","Savannah, GA"
"32","2016","The Penny Hoarder","6,934%","$7.5m","Media","","Tampa"
"33","2016","Inspire Medical Systems","6,889%","$8m","Health","","Minneapolis"
"34","2016","The Phoenix Recovery & Counseling Centers","6,545%","$6.6m","Health","","Salt Lake City"
"35","2016","n2grate","6,402%","$43.4m","Government Services","","Washington, DC"
"36","2016","Remarkable Liquids","6,187%","$7.4m","Food & Beverage","","Albany-Schenectady-Troy, NY"
"37","2016","Chicken Salad Chick","6,043%","$9.7m","Food & Beverage","",""
"38","2016","HAYSTACKID","5,962%","$6.4m","IT Services","","Boston"
"39","2016","Chelsea Financial Group","5,961%","$12.2m","Insurance","","New York City"
"40","2016","JM Bullion","5,907%","$661.2m","Financial Services","","Dallas"
"41","2016","Cirruspath","5,903%","$6.5m","Software","","Los Angeles"
"42","2016","Castle Medical","5,882%","$49m","Health","","Atlanta"
"43","2016","Zurixx","5,626%","$130m","Education","","Salt Lake City"
"44","2016","MacStadium","5,341%","$5.8m","IT Services","","Atlanta"
"45","2016","ReVamp Electronics","5,301%","$13.6m","Business Products & Services","","Chicago"
"46","2016","Atlas MedStaff","5,229%","$24.5m","Health","","Omaha-Council Bluffs, NE-IA"
"47","2016","Chosen Foods","5,148%","$31.6m","Food & Beverage","","San Diego"
"48","2016","BigRentz","5,093%","$30.1m","Construction","","Los Angeles"
"49","2016","Interactive Government Holdings","5,058%","$7.1m","Government Services","","Washington, DC"
"50","2016","Impact CNC","4,930%","$19.5m","Manufacturing","","Fort Wayne, IN"
"51","2016","Man Crates","4,900%","$21.6m","Retail","","San Francisco"
"52","2016","PrescribeWellness","4,897%","$10.2m","Health","","Los Angeles"
"53","2016","Elevate Services","4,895%","$21.5m","Business Products & Services","","Los Angeles"
"54","2016","PGM","4,843%","$12.9m","Construction","","Fresno, CA"
"55","2016","ByteCubed","4,768%","$11.6m","IT Services","","Washington, DC"
"56","2016","Excel Group","4,694%","$34.4m","Real Estate","","Washington, DC"
"57","2016","MP Consulting Services","4,665%","$4.7m","Construction","","New York City"
"58","2016","Edufficient","4,579%","$39.5m","Education","","New York City"
"59","2016","Prime Time Healthcare","4,396%","$25.6m","Health","","Omaha-Council Bluffs, NE-IA"
"60","2016","Orangetheory Fitness","4,308%","$47m","Health","","Miami"
"61","2016","Sparty Ventures","4,272%","$5.5m","Advertising & Marketing","","Phoenix"
"62","2016","Sandlapper Capital Investments","4,229%","$24.9m","Financial Services","","Greenville-Anderson-Mauldin, SC"
"63","2016","Downeast Cider House","4,216%","$6m","Food & Beverage","","Boston"
"64","2016","NeuroStructures","4,209%","$4.6m","Health","","Santa Cruz-Watsonville, CA"
"65","2016","Dollar Shave Club","4,191%","$152.4m","Consumer Products & Services","","Los Angeles"
"66","2016","Stratus Video","4,190%","$11.5m","Telecommunications","","Tampa"
"67","2016","United Commerce Group","4,164%","$8.4m","Retail","","Orlando, FL"
"68","2016","AppLovin","4,132%","$234.1m","Advertising & Marketing","","San Jose"
"69","2016","Artist Travel Consultants","4,121%","$6.2m","Travel & Hospitality","","New York City"
"70","2016","Talteam","4,053%","$5m","IT Services","","Washington, DC"
"71","2016","Chef's Cut Real Jerky","3,980%","$7.4m","Food & Beverage","","New York City"
"72","2016","Na Ali'i","3,946%","$9.9m","Government Services","","Urban Honolulu, HI"
"73","2016","Green Cloud Technologies","3,931%","$7.1m","IT Services","","Greenville-Anderson-Mauldin, SC"
"74","2016","Greenspire","3,885%","$6.9m","Energy","","Los Angeles"
"75","2016","LA Solar Group","3,876%","$11.9m","Energy","","Los Angeles"
"76","2016","Leafly","3,861%","$8.4m","Consumer Products & Services","","Seattle"
"77","2016","Ecology Mir Group","3,856%","$3.9m","Government Services","","Washington, DC"
"78","2016","SJ Technologies","3,802%","$14.5m","IT Services","","Washington, DC"
"79","2016","West Hills Capital","3,753%","$6.3m","Financial Services","","Wichita, KS"
"80","2016","Discount Power (Texas)","3,733%","$52.6m","Energy","","Houston"
"81","2016","Lead Genesis","3,729%","$14.9m","Energy","","Las Vegas-Henderson-Paradise, NV"
"82","2016","TFM Truckload","3,639%","$4.3m","Logistics & Transportation","","Pittsburgh, PA"
"83","2016","Youth Digital","3,622%","$5.2m","Education","","Durham-Chapel Hill, NC"
"84","2016","InfoScout","3,602%","$6.7m","Business Products & Services","","San Francisco"
"85","2016","IMPACT Technology Recruiting","3,566%","$12.4m","IT Services","","Phoenix"
"86","2016","Nutanix","3,566%","$241.4m","Software","","San Jose"
"87","2016","TapClicks","3,534%","$5.5m","Advertising & Marketing","","San Jose"
"88","2016","Futurewave Systems","3,499%","$14.7m","Human Resources","","Atlanta"
"89","2016","Worth Clark Realty","3,493%","$5.1m","Real Estate","","St. Louis, MO-IL"
"90","2016","TickPick","3,488%","$23.7m","Consumer Products & Services","","New York City"
"91","2016","Konnected","3,478%","$3.9m","Advertising & Marketing","","Detroit"
"92","2016","Solar Media Team","3,428%","$4.3m","Advertising & Marketing","","Miami"
"93","2016","DoubleMap","3,415%","$3.5m","Logistics & Transportation","","Indianapolis, IN"
"94","2016","Hireology","3,386%","$3.6m","Business Products & Services","","Chicago"
"95","2016","OutboundEngine","3,377%","$9.7m","Software","","Austin"
"96","2016","HYPERICE","3,366%","$4.5m","Consumer Products & Services","","Los Angeles"
"97","2016","Cambridge Select","3,341%","$37.7m","Retail","","Boston"
"98","2016","CATMEDIA","3,323%","$17.4m","Government Services","","Atlanta"
"99","2016","ArrowCore Group","3,307%","$4.7m","IT Services","","Atlanta"
"100","2016","Inoventures","3,255%","$3.9m","Government Services","","Washington, DC"
"101","2016","Render Media","3,238%","$7.6m","Media","","Los Angeles"
"102","2016","HomeWorks Energy","3,168%","$10.1m","Energy","","Boston"
"103","2016","Redefy Real Estate","3,154%","$9.6m","Real Estate","","Denver"
"104","2016","ipsy","3,136%","$169.2m","Consumer Products & Services","","San Francisco"
"105","2016","MeUndies","3,133%","$16.3m","Retail","","Los Angeles"
"106","2016","Flite Banking Centers","3,129%","$4.2m","Business Products & Services","","Houston"
"107","2016","CallRail","3,070%","$6.2m","Software","","Atlanta"
"108","2016","Maxton & Company","3,036%","$5m","Business Products & Services","","San Francisco"
"109","2016","Cognitive Medical Systems","2,997%","$13m","Health","","San Diego"
"110","2016","Herman Integration Services","2,982%","$8.4m","Business Products & Services","","Miami"
"111","2016","BahFed","2,963%","$13.7m","Government Services","","Portland, OR"
"112","2016","MS3","2,946%","$3.3m","IT Services","","Washington, DC"
"113","2016","E-Telequote Insurance","2,909%","$15.5m","Insurance","","Tampa"
"114","2016","Treeium","2,888%","$33.4m","Construction","","Los Angeles"
"115","2016","ProNexus","2,874%","$6.9m","Financial Services","","Rochester, NY"
"116","2016","The K Company Realty","2,869%","$10m","Real Estate","","Miami"
"117","2016","Honor Capital","2,849%","$7.4m","Insurance","","Springfield, MA"
"118","2016","GLOBO","2,844%","$5.5m","Business Products & Services","","Philadelphia"
"119","2016","Fin Fun","2,800%","$19.4m","Retail","","Idaho Falls, ID"
"120","2016","Approyo","2,795%","$3.1m","IT Services","","Milwaukee-Waukesha-West Allis, WI"
"121","2016","Cambay Consulting","2,791%","$4.2m","IT Services","","Houston"
"122","2016","Aleph Objects","2,782%","$15m","Computer Hardware","","Fort Collins, CO"
"123","2016","Melba's Old School Po' Boys","2,775%","$2.9m","Food & Beverage","","New Orleans-Metairie, LA"
"124","2016","Manifesto Agency","2,769%","$8.1m","Advertising & Marketing","","Portland, OR"
"125","2016","ACUMEN Capital","2,752%","$12.4m","Financial Services","","Washington, DC"
"126","2016","NORTHSTARGROUP","2,744%","$3.4m","IT Services","","Washington, DC"
"127","2016","Engage PEO","2,743%","$14.2m","Human Resources","","Miami"
"128","2016","Mosquito Joe","2,700%","$8.1m","Consumer Products & Services","","Virginia Beach-Norfolk-Newport News, VA-NC"
"129","2016","Lexicon Health","2,676%","$3.5m","Media","","San Jose"
"130","2016","Axe Wellness","2,645%","$11.6m","Health","","Nashville"
"131","2016","Evoke Neuroscience","2,638%","$3.1m","Health","","New York City"
"132","2016","Project Repat","2,637%","$3.9m","Retail","","Boston"
"133","2016","Hermitage Inn Real Estate Holding Company","2,623%","$41.7m","Travel & Hospitality","",""
"134","2016","Organifi","2,609%","$5.5m","Health","","San Diego"
"135","2016","Pop! Promos","2,608%","$3.5m","Advertising & Marketing","","Philadelphia"
"136","2016","NETWORK OPTIX","2,592%","$3.5m","Software","","Los Angeles"
"137","2016","Boost Marketing Group","2,559%","$8.3m","Advertising & Marketing","","Grand Rapids-Wyoming, MI"
"138","2016","Netvious","2,537%","$4m","IT Services","","Dallas"
"139","2016","KnowBe4","2,528%","$6.8m","Security","","Tampa"
"140","2016","Chameleon Cold-Brew","2,507%","$9m","Food & Beverage","","Austin"
"141","2016","PrinterLogic","2,480%","$10m","Software","","St. George, UT"
"142","2016","YourPark.com","2,461%","$3m","Real Estate","","Austin"
"143","2016","zSpace","2,451%","$8.6m","Education","","San Jose"
"144","2016","CrowdStrike","2,429%","$27.3m","Security","","Los Angeles"
"145","2016","Razor Consulting Solutions","2,426%","$3m","Business Products & Services","",""
"146","2016","Lancera","2,424%","$5.3m","Software","","Provo-Orem, UT"
"147","2016","Touch of Modern","2,424%","$81.2m","Consumer Products & Services","","San Francisco"
"148","2016","Leadpages","2,392%","$16.2m","IT Services","","Minneapolis"
"149","2016","LifeTree Manufacturing","2,375%","$10.8m","Food & Beverage","","Phoenix"
"150","2016","Handsome Brook Farm - Pasture Raised Eggs","2,371%","$6.8m","Food & Beverage","",""
"151","2016","SlideBelts","2,365%","$2.6m","Retail","","Sacramento, CA"
"152","2016","Phoenix Energy Group","2,355%","$5.1m","Energy","","New York City"
"153","2016","Occam's Paradigm","2,355%","$2.5m","Business Products & Services","","New York City"
"154","2016","CPSG Partners","2,346%","$43.4m","IT Services","","Dallas"
"155","2016","CAPITAL ADVANCE SOLUTIONS","2,328%","$4.8m","Financial Services","","New York City"
"156","2016","Missouri Sun Solar","2,327%","$9.8m","Energy","","Springfield, MO"
"157","2016","Greenlight Staffing Group","2,306%","$3.2m","Human Resources","","Miami"
"158","2016","One Stop Equine Shop","2,296%","$8.4m","Retail","","Chicago"
"159","2016","Advanced Project Consulting","2,291%","$6.4m","Government Services","","Warner Robins, GA"
"160","2016","Hospicelink","2,275%","$41.7m","Health","","Birmingham-Hoover, AL"
"161","2016","Empire Flippers","2,253%","$4.6m","Business Products & Services","","Los Angeles"
"162","2016","Blue Canyon Technologies","2,224%","$5.4m","Engineering","","Boulder, CO"
"163","2016","Bai Brands","2,210%","$119.9m","Food & Beverage","","Trenton, NJ"
"164","2016","Torrent Consulting","2,196%","$2.9m","Business Products & Services","","Charlotte"
"165","2016","PCB Apps","2,187%","$14.7m","IT Services","","New York City"
"166","2016","Blueprint Consulting Services","2,162%","$22.3m","Business Products & Services","","Seattle"
"167","2016","Cireson","2,152%","$12.1m","Software","","San Diego"
"168","2016","The Exterior Company","2,119%","$8.3m","Construction","","Lancaster, PA"
"169","2016","Akston Hughes International","2,112%","$3.1m","Retail","",""
"170","2016","Florida Premier Realty of the Palm Beaches","2,101%","$2.6m","Real Estate","","Miami"
"171","2016","Knot Standard","2,095%","$6.1m","Retail","","New York City"
"172","2016","Clason Point Partners","2,093%","$2.5m","Government Services","","New York City"
"173","2016","Developing Awareness","2,093%","$4.5m","Advertising & Marketing","","Hilo, HI"
"174","2016","Hoosier Hill Farm","2,088%","$2.7m","Food & Beverage","","Fort Wayne, IN"
"175","2016","Apto","2,079%","$2.2m","Software","","Denver"
"176","2016","Channel Partners Capital","2,074%","$2.2m","Financial Services","","Minneapolis"
"177","2016","Alliance Family of Companies","2,073%","$28m","Health","","Dallas"
"178","2016","ABUV Media","2,071%","$5.8m","Advertising & Marketing","","Reno, NV"
"179","2016","LILEE Systems","2,071%","$15.4m","Telecommunications","","San Jose"
"180","2016","A.M. Staffing Group","2,055%","$2.5m","Human Resources","","Chicago"
"181","2016","Seeking Health","2,039%","$11.6m","Health","","Bellingham, WA"
"182","2016","ONE3LED","2,031%","$4.3m","Energy","","St. Louis, MO-IL"
"183","2016","Kabbage","2,027%","$97.4m","Financial Services","","Atlanta"
"184","2016","TRAFFIC","2,022%","$2.5m","Advertising & Marketing","","Detroit"
"185","2016","Fab Glass and Mirror","2,000%","$2.4m","Consumer Products & Services","","Columbus, OH"
"186","2016","Magoosh","1,991%","$7m","Education","","San Francisco"
"187","2016","BrandNex.com","1,989%","$2.1m","Advertising & Marketing","","Houston"
"189","2016","Climate Control Experts","1,953%","$4.7m","Construction","","Las Vegas-Henderson-Paradise, NV"
"190","2016","My Home Group Real Estate","1,953%","$10.5m","Real Estate","","Phoenix"
"191","2016","Connect Assistance","1,942%","$2m","Insurance","","San Juan-Carolina-Caguas, PR"
"192","2016","Shopper Approved","1,939%","$2.7m","Software","","Ogden-Clearfield, UT"
"193","2016","Commodore Leasing","1,933%","$3.6m","Retail","","Nashville"
"194","2016","ServRx","1,929%","$47.2m","Health","","Phoenix"
"195","2016","Global Lending Services","1,927%","$70.6m","Financial Services","","Atlanta"
"196","2016","HealthSparq","1,914%","$20.2m","Health","","Portland, OR"
"197","2016","Idea Buyer","1,912%","$2.2m","Consumer Products & Services","","Columbus, OH"
"198","2016","Optamark","1,906%","$4.5m","Business Products & Services","","Providence-Warwick, RI-MA"
"199","2016","Drawbridge","1,903%","$66m","Advertising & Marketing","","San Francisco"
"200","2016","LLB Enterprises","1,900%","$2m","Business Products & Services","","Washington, DC"
"201","2016","Trantor","1,900%","$10m","Software","","San Francisco"
"202","2016","Movable Ink","1,897%","$18m","Advertising & Marketing","","New York City"
"203","2016","GTUIT","1,894%","$10.9m","Energy","","Billings, MT"
"204","2016","Pipedrive","1,894%","$9m","Software","","New York City"
"205","2016","Health Warrior","1,887%","$9.8m","Food & Beverage","","Richmond, VA"
"206","2016","Chicken & Rice Guys","1,883%","$2.6m","Food & Beverage","","Boston"
"207","2016","RPM","1,874%","$26.4m","Logistics & Transportation","","Detroit"
"208","2016","Payline Data","1,866%","$4.9m","Financial Services","","Chicago"
"209","2016","Sunpro Solar","1,866%","$19.2m","Construction","","New Orleans-Metairie, LA"
"210","2016","Fire Line Services","1,859%","$15m","Construction","","Dallas"
"211","2016","NextGen Federal Systems","1,855%","$4.4m","IT Services","","Morgantown, WV"
"212","2016","Darkblade Systems","1,848%","$4m","Government Services","","Washington, DC"
"213","2016","GREEN CREATIVE","1,842%","$39.5m","Manufacturing","","San Francisco"
"214","2016","C3 Group","1,838%","$3.3m","Insurance","","Denver"
"215","2016","Preting Consulting","1,827%","$5.2m","Government Services","","Washington, DC"
"216","2016","MOD Mission Critical","1,816%","$2.9m","IT Services","","Denver"
"217","2016","Opteamix","1,809%","$7.2m","IT Services","","Denver"
"218","2016","DA Defense Logistics HQ","1,809%","$19.1m","Logistics & Transportation","","El Paso, TX"
"219","2016","Tergus Pharma","1,805%","$9.4m","Health","","Durham-Chapel Hill, NC"
"220","2016","nCino","1,805%","$13.1m","Software","","Wilmington, NC"
"221","2016","WePay","1,795%","$57.8m","Software","","San Francisco"
"222","2016","Pro-Sphere Tek","1,795%","$45.7m","IT Services","","Washington, DC"
"223","2016","Aegis Corps","1,794%","$4.2m","Government Services","","Washington, DC"
"224","2016","Prairie Landworks","1,772%","$4.2m","Construction","","McPherson, KS"
"225","2016","Kohana Coffee","1,767%","$7.4m","Food & Beverage","","Austin"
"226","2016","National Medtrans Network","1,765%","$73.7m","Health","","New York City"
"227","2016","Sophus IT Solutions","1,744%","$3.3m","IT Services","","Seattle"
"228","2016","CallTrackingMetrics","1,742%","$5m","Software","","Baltimore"
"229","2016","Consumer Fire Products","1,741%","$2m","Security","","Eugene, OR"
"230","2016","Land Gorilla","1,726%","$4.5m","Construction","","San Luis Obispo-Paso Robles-Arroyo Grande, CA"
"231","2016","Shop Melee","1,724%","$2.3m","Consumer Products & Services","","Chicago"
"232","2016","Sound Rink","1,714%","$3.2m","Consumer Products & Services","","Portland-South Portland, ME"
"233","2016","Rocky Mountain Barrel Company","1,692%","$6.1m","Food & Beverage","","Denver"
"234","2016","Avadim Technologies","1,675%","$3.6m","Health","","Asheville, NC"
"235","2016","LONECONE.com","1,672%","$2.9m","Retail","","Boise City, ID"
"236","2016","Apeks Supercritical","1,662%","$12m","Manufacturing","","Columbus, OH"
"237","2016","L2F","1,654%","$2.7m","Engineering","","San Francisco"
"238","2016","Humm Kombucha","1,644%","$4m","Food & Beverage","","Prineville, OR"
"239","2016","Influence & Co.","1,643%","$4.2m","Advertising & Marketing","","Columbia, MO"
"240","2016","AKESOgen","1,616%","$8.9m","Health","","Atlanta"
"241","2016","MasteryPrep","1,612%","$4.3m","Education","","Baton Rouge, LA"
"242","2016","Primal Health","1,612%","$11.5m","Health","","Dallas"
"243","2016","Stratton & Bratt","1,609%","$7.7m","Construction","","Provo-Orem, UT"
"244","2016","Fathom Realty","1,604%","$29.6m","Real Estate","","Dallas"
"245","2016","Stability Healthcare","1,598%","$8.8m","Health","","Los Angeles"
"246","2016","B&D Consulting","1,598%","$7.6m","IT Services","","Hagerstown-Martinsburg, MD-WV"
"247","2016","TENICA and Associates","1,591%","$9.1m","Government Services","","Washington, DC"
"248","2016","KPG Healthcare","1,590%","$7m","Health","","Los Angeles"
"249","2016","ANALYTICA","1,588%","$9.6m","IT Services","","Washington, DC"
"250","2016","RightBrain Networks","1,586%","$2.5m","Software","","Ann Arbor, MI"
"251","2016","Casino Cash Trac","1,575%","$2.4m","Software","","Tulsa, OK"
"252","2016","LinkedSelling","1,574%","$2.4m","Advertising & Marketing","","St. Louis, MO-IL"
"253","2016","Her Hair Company","1,570%","$4.8m","Consumer Products & Services","","Indianapolis, IN"
"254","2016","Hosted Records","1,557%","$3.3m","Government Services","","Washington, DC"
"255","2016","freshbenies","1,555%","$5.7m","Health","","Dallas"
"256","2016","Tresata","1,551%","$5.4m","Software","","Charlotte"
"257","2016","ChiroFusion","1,545%","$3.6m","Software","","Philadelphia"
"258","2016","Applied Thought","1,541%","$4.4m","IT Services","","Orlando, FL"
"259","2016","SmartBox Web Marketing","1,534%","$4m","Advertising & Marketing","","Louisville/Jefferson County, KY-IN"
"260","2016","Orion","1,531%","$5.9m","IT Services","","Atlanta"
"261","2016","Florida Solar One","1,524%","$2m","Energy","","Miami"
"262","2016","Auric Solar","1,521%","$28.8m","Energy","","Salt Lake City"
"263","2016","Jane","1,510%","$83.8m","Retail","","Provo-Orem, UT"
"264","2016","Double A Events","1,502%","$4.1m","Advertising & Marketing","","Austin"
"265","2016","CloudSmartz","1,500%","$4.5m","IT Services","","Rochester, NY"
"266","2016","Danny Wimmer Presents","1,496%","$40.6m","Consumer Products & Services","","Los Angeles"
"267","2016","CRM Science","1,493%","$2.7m","IT Services","","Philadelphia"
"268","2016","Edgemont Pharmaceuticals","1,493%","$26.6m","Health","","Austin"
"269","2016","Synartis Health","1,490%","$2.1m","Health","","Atlanta"
"270","2016","Carved","1,480%","$2.5m","Consumer Products & Services","","Elkhart-Goshen, IN"
"271","2016","FormSwift","1,470%","$13.6m","Software","","San Francisco"
"272","2016","Ruby Has Fulfillment","1,458%","$3.3m","Logistics & Transportation","","New York City"
"273","2016","RobotLAB","1,429%","$5.3m","Software","","San Francisco"
"274","2016","VetInternetCo.com","1,426%","$9.5m","Retail","","Albertville, AL"
"275","2016","Bowlmor AMF","1,422%","$565.7m","Food & Beverage","","New York City"
"276","2016","PSG Construction","1,419%","$24.3m","Construction","","Atlanta"
"277","2016","Flowonix Medicial","1,417%","$9.5m","Health","","New York City"
"278","2016","ReliaTrain","1,413%","$2m","Engineering","","Detroit"
"279","2016","Parse.ly","1,406%","$4m","Business Products & Services","","New York City"
"280","2016","American Pillowcase","1,400%","$6.5m","Retail","","Richmond, VA"
"281","2016","Private Label Skin","1,397%","$21m","Manufacturing","","Tampa"
"282","2016","Smart Energy Today","1,386%","$13.4m","Energy","","Olympia-Tumwater, WA"
"283","2016","Survwest","1,384%","$2.7m","Engineering","","Denver"
"284","2016","iLendingDIRECT, powered by Fleet Financial","1,382%","$245.3m","Financial Services","","Denver"
